gst_record_id,invoice_id,order_id,gst_type,return_period,gstin,taxable_value,igst,cgst,sgst,cess,total_tax,itc_eligible,itc_matched,filed_status
GST-0001-OUT,INV-0001,ORD-1,OUTPUT,2025-01,29ABCDE0001F1Z5,1042.75,0,93.85,93.85,0,187.7,FALSE,,FILED
GST-0001-IN,INV-0001,ORD-1,INPUT,2025-01,29AAACR2288E1ZK,24.61,0,2.21,2.22,0,4.43,TRUE,TRUE,RECONCILED
GST-0002-OUT,INV-0002,ORD-2,OUTPUT,2025-01,29ABCDE0002F1Z5,884.38,0,79.59,79.6,0,159.19,FALSE,,FILED
GST-0002-IN,INV-0002,ORD-2,INPUT,2025-01,29AAACR2288E1ZK,4.17,0,0.38,0.37,0,0.75,TRUE,TRUE,RECONCILED
GST-0003-OUT,INV-0003,ORD-3,OUTPUT,2025-01,29ABCDE0003F1Z5,2313.91,416.5,0,0,0,416.5,FALSE,,FILED
GST-0003-IN,INV-0003,ORD-3,INPUT,2025-01,29AAACR2288E1ZK,54.61,0,4.92,4.91,0,9.83,TRUE,TRUE,RECONCILED
GST-0004-OUT,INV-0004,ORD-4,OUTPUT,2025-01,29ABCDE0004F1Z5,520.5,93.69,0,0,0,93.69,FALSE,,FILED
GST-0004-IN,INV-0004,ORD-4,INPUT,2025-01,29AAACR2288E1ZK,2.46,0,0.22,0.22,0,0.44,TRUE,TRUE,RECONCILED
GST-0005-OUT,INV-0005,ORD-5,OUTPUT,2025-01,29ABCDE0005F1Z5,253.39,45.61,0,0,0,45.61,FALSE,,FILED
GST-0005-IN,INV-0005,ORD-5,INPUT,2025-01,29AAACR2288E1ZK,5.98,0,0.54,0.54,0,1.08,TRUE,TRUE,RECONCILED
GST-0006-OUT,INV-0006,ORD-6,OUTPUT,2025-01,29ABCDE0006F1Z5,967.36,0,87.06,87.07,0,174.13,FALSE,,FILED
GST-0006-IN,INV-0006,ORD-6,INPUT,2025-01,29AAACR2288E1ZK,4.57,0,0.41,0.41,0,0.82,TRUE,TRUE,RECONCILED
GST-0007-OUT,INV-0007,ORD-7,OUTPUT,2025-01,29ABCDE0007F1Z5,4190.65,754.32,0,0,0,754.32,FALSE,,FILED
GST-0007-IN,INV-0007,ORD-7,INPUT,2025-01,29AAACR2288E1ZK,19.78,0,1.78,1.78,0,3.56,TRUE,TRUE,RECONCILED
GST-0008-OUT,INV-0008,ORD-8,OUTPUT,2025-01,29ABCDE0008F1Z5,363.52,65.43,0,0,0,65.43,FALSE,,FILED
GST-0008-IN,INV-0008,ORD-8,INPUT,2025-01,29AAACR2288E1ZK,8.58,0,0.77,0.77,0,1.54,TRUE,TRUE,RECONCILED
GST-0009-OUT,INV-0009,ORD-9,OUTPUT,2025-01,29ABCDE0009F1Z5,549.59,0,49.47,49.46,0,98.93,FALSE,,FILED
GST-0009-IN,INV-0009,ORD-9,INPUT,2025-01,29AAACR2288E1ZK,2.59,0,0.23,0.24,0,0.47,TRUE,TRUE,RECONCILED
GST-0010-OUT,INV-0010,ORD-10,OUTPUT,2025-01,29ABCDE0010F1Z5,571.86,102.93,0,0,0,102.93,FALSE,,FILED
GST-0010-IN,INV-0010,ORD-10,INPUT,2025-01,29AAACR2288E1ZK,2.7,0,0.24,0.25,0,0.49,TRUE,TRUE,RECONCILED
GST-0011-OUT,INV-0011,ORD-11,OUTPUT,2025-01,29ABCDE0011F1Z5,256.04,0,23.05,23.04,0,46.09,FALSE,,FILED
GST-0011-IN,INV-0011,ORD-11,INPUT,2025-01,29AAACR2288E1ZK,6.04,0,0.55,0.54,0,1.09,TRUE,TRUE,RECONCILED
GST-0012-OUT,INV-0012,ORD-12,OUTPUT,2025-01,29ABCDE0012F1Z5,1688.52,0,151.97,151.96,0,303.93,FALSE,,FILED
GST-0012-IN,INV-0012,ORD-12,INPUT,2025-01,29AAACR2288E1ZK,39.85,0,3.58,3.59,0,7.17,TRUE,TRUE,RECONCILED
GST-0013-OUT,INV-0013,ORD-13,OUTPUT,2025-01,29ABCDE0013F1Z5,603.64,0,54.33,54.33,0,108.66,FALSE,,FILED
GST-0013-IN,INV-0013,ORD-13,INPUT,2025-01,29AAACR2288E1ZK,2.85,0,0.26,0.25,0,0.51,TRUE,TRUE,RECONCILED
GST-0014-OUT,INV-0014,ORD-14,OUTPUT,2025-01,29ABCDE0014F1Z5,1280.75,0,115.27,115.27,0,230.54,FALSE,,FILED
GST-0014-IN,INV-0014,ORD-14,INPUT,2025-01,29AAACR2288E1ZK,30.23,0,2.72,2.72,0,5.44,TRUE,TRUE,RECONCILED
GST-0015-OUT,INV-0015,ORD-15,OUTPUT,2025-01,29ABCDE0015F1Z5,442.45,0,39.82,39.82,0,79.64,FALSE,,FILED
GST-0015-IN,INV-0015,ORD-15,INPUT,2025-01,29AAACR2288E1ZK,12.0,0,1.08,1.08,0,2.16,TRUE,TRUE,RECONCILED
GST-0016-OUT,INV-0016,ORD-16,OUTPUT,2025-01,29ABCDE0016F1Z5,900.01,0,81.0,81.0,0,162.0,FALSE,,FILED
GST-0016-IN,INV-0016,ORD-16,INPUT,2025-01,29AAACR2288E1ZK,21.24,0,1.91,1.91,0,3.82,TRUE,TRUE,RECONCILED
GST-0017-OUT,INV-0017,ORD-17,OUTPUT,2025-01,29ABCDE0017F1Z5,334.01,60.12,0,0,0,60.12,FALSE,,FILED
GST-0017-IN,INV-0017,ORD-17,INPUT,2025-01,29AAACR2288E1ZK,7.88,0,0.71,0.71,0,1.42,TRUE,TRUE,RECONCILED
GST-0018-OUT,INV-0018,ORD-18,OUTPUT,2025-01,29ABCDE0018F1Z5,331.15,0,29.8,29.81,0,59.61,FALSE,,FILED
GST-0018-IN,INV-0018,ORD-18,INPUT,2025-01,29AAACR2288E1ZK,12.0,0,1.08,1.08,0,2.16,TRUE,TRUE,RECONCILED
GST-0019-OUT,INV-0019,ORD-19,OUTPUT,2025-01,29ABCDE0019F1Z5,1629.47,0,146.66,146.65,0,293.31,FALSE,,FILED
GST-0019-IN,INV-0019,ORD-19,INPUT,2025-01,29AAACR2288E1ZK,38.46,0,3.46,3.46,0,6.92,TRUE,TRUE,RECONCILED
GST-0020-OUT,INV-0020,ORD-20,OUTPUT,2025-01,29ABCDE0020F1Z5,1267.76,228.2,0,0,0,228.2,FALSE,,FILED
GST-0020-IN,INV-0020,ORD-20,INPUT,2025-01,29AAACR2288E1ZK,12.0,0,1.08,1.08,0,2.16,TRUE,TRUE,RECONCILED
GST-0021-OUT,INV-0021,ORD-21,OUTPUT,2025-01,29ABCDE0021F1Z5,327.53,58.95,0,0,0,58.95,FALSE,,FILED
GST-0021-IN,INV-0021,ORD-21,INPUT,2025-01,29AAACR2288E1ZK,7.73,0,0.69,0.7,0,1.39,TRUE,TRUE,RECONCILED
GST-0022-OUT,INV-0022,ORD-22,OUTPUT,2025-01,29ABCDE0022F1Z5,547.53,0,49.28,49.28,0,98.56,FALSE,,FILED
GST-0022-IN,INV-0022,ORD-22,INPUT,2025-01,29AAACR2288E1ZK,12.92,0,1.17,1.16,0,2.33,TRUE,TRUE,RECONCILED
GST-0023-OUT,INV-0023,ORD-23,OUTPUT,2025-01,29ABCDE0023F1Z5,1812.42,0,163.12,163.11,0,326.23,FALSE,,FILED
GST-0023-IN,INV-0023,ORD-23,INPUT,2025-01,29AAACR2288E1ZK,8.55,0,0.77,0.77,0,1.54,TRUE,TRUE,RECONCILED
GST-0024-OUT,INV-0024,ORD-24,OUTPUT,2025-01,29ABCDE0024F1Z5,17002.82,3060.51,0,0,0,3060.51,FALSE,,FILED
GST-0024-IN,INV-0024,ORD-24,INPUT,2025-01,29AAACR2288E1ZK,401.27,0,36.12,36.11,0,72.23,TRUE,TRUE,RECONCILED
GST-0025-OUT,INV-0025,ORD-25,OUTPUT,2025-01,29ABCDE0025F1Z5,2469.14,444.45,0,0,0,444.45,FALSE,,FILED
GST-0025-IN,INV-0025,ORD-25,INPUT,2025-01,29AAACR2288E1ZK,58.27,0,5.25,5.24,0,10.49,TRUE,TRUE,RECONCILED
GST-0026-OUT,INV-0026,ORD-26,OUTPUT,2025-01,29ABCDE0026F1Z5,516.42,92.96,0,0,0,92.96,FALSE,,FILED
GST-0026-IN,INV-0026,ORD-26,INPUT,2025-01,29AAACR2288E1ZK,12.19,0,1.09,1.1,0,2.19,TRUE,TRUE,RECONCILED
GST-0027-OUT,INV-0027,ORD-27,OUTPUT,2025-01,29ABCDE0027F1Z5,778.12,0,70.03,70.03,0,140.06,FALSE,,FILED
GST-0027-IN,INV-0027,ORD-27,INPUT,2025-01,29AAACR2288E1ZK,3.67,0,0.33,0.33,0,0.66,TRUE,TRUE,RECONCILED
GST-0028-OUT,INV-0028,ORD-28,OUTPUT,2025-01,29ABCDE0028F1Z5,3874.35,0,348.69,348.69,0,697.38,FALSE,,FILED
GST-0028-IN,INV-0028,ORD-28,INPUT,2025-01,29AAACR2288E1ZK,91.43,0,8.23,8.23,0,16.46,TRUE,TRUE,RECONCILED
GST-0029-OUT,INV-0029,ORD-29,OUTPUT,2025-01,29ABCDE0029F1Z5,2229.1,0,200.62,200.62,0,401.24,FALSE,,FILED
GST-0029-IN,INV-0029,ORD-29,INPUT,2025-01,29AAACR2288E1ZK,10.52,0,0.94,0.95,0,1.89,TRUE,TRUE,RECONCILED
GST-0030-OUT,INV-0030,ORD-30,OUTPUT,2025-01,29ABCDE0030F1Z5,500.6,90.11,0,0,0,90.11,FALSE,,FILED
GST-0030-IN,INV-0030,ORD-30,INPUT,2025-01,29AAACR2288E1ZK,11.81,0,1.06,1.07,0,2.13,TRUE,TRUE,RECONCILED
GST-0031-OUT,INV-0031,ORD-31,OUTPUT,2025-01,29ABCDE0031F1Z5,650.39,0,58.53,58.54,0,117.07,FALSE,,FILED
GST-0031-IN,INV-0031,ORD-31,INPUT,2025-01,29AAACR2288E1ZK,15.35,0,1.38,1.38,0,2.76,TRUE,TRUE,RECONCILED
GST-0032-OUT,INV-0032,ORD-32,OUTPUT,2025-01,29ABCDE0032F1Z5,3271.47,0,294.43,294.43,0,588.86,FALSE,,FILED
GST-0032-IN,INV-0032,ORD-32,INPUT,2025-01,29AAACR2288E1ZK,15.44,0,1.39,1.39,0,2.78,TRUE,TRUE,RECONCILED
GST-0033-OUT,INV-0033,ORD-33,OUTPUT,2025-01,29ABCDE0033F1Z5,3862.31,0,347.61,347.6,0,695.21,FALSE,,FILED
GST-0033-IN,INV-0033,ORD-33,INPUT,2025-01,29AAACR2288E1ZK,91.15,0,8.21,8.2,0,16.41,TRUE,TRUE,RECONCILED
GST-0034-OUT,INV-0034,ORD-34,OUTPUT,2025-01,29ABCDE0034F1Z5,1062.42,0,95.62,95.62,0,191.24,FALSE,,FILED
GST-0034-IN,INV-0034,ORD-34,INPUT,2025-01,29AAACR2288E1ZK,5.01,0,0.45,0.45,0,0.9,TRUE,TRUE,RECONCILED
GST-0035-OUT,INV-0035,ORD-35,OUTPUT,2025-01,29ABCDE0035F1Z5,927.68,166.98,0,0,0,166.98,FALSE,,FILED
GST-0035-IN,INV-0035,ORD-35,INPUT,2025-01,29AAACR2288E1ZK,4.38,0,0.4,0.39,0,0.79,TRUE,TRUE,RECONCILED
GST-0036-OUT,INV-0036,ORD-36,OUTPUT,2025-01,29ABCDE0036F1Z5,3672.39,0,330.51,330.52,0,661.03,FALSE,,FILED
GST-0036-IN,INV-0036,ORD-36,INPUT,2025-01,29AAACR2288E1ZK,17.33,0,1.56,1.56,0,3.12,TRUE,TRUE,RECONCILED
GST-0037-OUT,INV-0037,ORD-37,OUTPUT,2025-01,29ABCDE0037F1Z5,1206.35,0,108.57,108.57,0,217.14,FALSE,,FILED
GST-0037-IN,INV-0037,ORD-37,INPUT,2025-01,29AAACR2288E1ZK,28.47,0,2.56,2.56,0,5.12,TRUE,TRUE,RECONCILED
GST-0038-OUT,INV-0038,ORD-38,OUTPUT,2025-01,29ABCDE0038F1Z5,3709.62,0,333.87,333.86,0,667.73,FALSE,,FILED
GST-0038-IN,INV-0038,ORD-38,INPUT,2025-01,29AAACR2288E1ZK,87.55,0,7.88,7.88,0,15.76,TRUE,TRUE,RECONCILED
GST-0039-OUT,INV-0039,ORD-39,OUTPUT,2025-01,29ABCDE0039F1Z5,261.08,0,23.5,23.5,0,47.0,FALSE,,FILED
GST-0039-IN,INV-0039,ORD-39,INPUT,2025-01,29AAACR2288E1ZK,6.16,0,0.56,0.55,0,1.11,TRUE,TRUE,RECONCILED
GST-0040-OUT,INV-0040,ORD-40,OUTPUT,2025-01,29ABCDE0040F1Z5,333.23,59.98,0,0,0,59.98,FALSE,,FILED
GST-0040-IN,INV-0040,ORD-40,INPUT,2025-01,29AAACR2288E1ZK,9.24,0,0.83,0.83,0,1.66,TRUE,TRUE,RECONCILED
GST-0041-OUT,INV-0041,ORD-41,OUTPUT,2025-01,29ABCDE0041F1Z5,1558.27,280.49,0,0,0,280.49,FALSE,,FILED
GST-0041-IN,INV-0041,ORD-41,INPUT,2025-01,29AAACR2288E1ZK,7.36,0,0.66,0.66,0,1.32,TRUE,TRUE,RECONCILED
GST-0042-OUT,INV-0042,ORD-42,OUTPUT,2025-01,29ABCDE0042F1Z5,253.39,0,22.8,22.81,0,45.61,FALSE,,FILED
GST-0042-IN,INV-0042,ORD-42,INPUT,2025-01,29AAACR2288E1ZK,12.0,0,1.08,1.08,0,2.16,TRUE,TRUE,RECONCILED
GST-0043-OUT,INV-0043,ORD-43,OUTPUT,2025-01,29ABCDE0043F1Z5,387.25,0,34.85,34.86,0,69.71,FALSE,,FILED
GST-0043-IN,INV-0043,ORD-43,INPUT,2025-01,29AAACR2288E1ZK,9.14,0,0.82,0.83,0,1.65,TRUE,TRUE,RECONCILED
GST-0044-OUT,INV-0044,ORD-44,OUTPUT,2025-01,29ABCDE0044F1Z5,773.42,139.22,0,0,0,139.22,FALSE,,FILED
GST-0044-IN,INV-0044,ORD-44,INPUT,2025-01,29AAACR2288E1ZK,17.34,0,1.56,1.56,0,3.12,TRUE,TRUE,RECONCILED
GST-0045-OUT,INV-0045,ORD-45,OUTPUT,2025-01,29ABCDE0045F1Z5,827.95,149.03,0,0,0,149.03,FALSE,,FILED
GST-0045-IN,INV-0045,ORD-45,INPUT,2025-01,29AAACR2288E1ZK,3.91,0,0.35,0.35,0,0.7,TRUE,TRUE,RECONCILED
GST-0046-OUT,INV-0046,ORD-46,OUTPUT,2025-01,29ABCDE0046F1Z5,253.39,45.61,0,0,0,45.61,FALSE,,FILED
GST-0046-IN,INV-0046,ORD-46,INPUT,2025-01,29AAACR2288E1ZK,3.59,0,0.33,0.32,0,0.65,TRUE,TRUE,RECONCILED
GST-0047-OUT,INV-0047,ORD-47,OUTPUT,2025-01,29ABCDE0047F1Z5,3106.0,559.08,0,0,0,559.08,FALSE,,FILED
GST-0047-IN,INV-0047,ORD-47,INPUT,2025-01,29AAACR2288E1ZK,14.66,0,1.32,1.32,0,2.64,TRUE,TRUE,RECONCILED
GST-0048-OUT,INV-0048,ORD-48,OUTPUT,2025-01,29ABCDE0048F1Z5,5185.99,0,466.74,466.74,0,933.48,FALSE,,FILED
GST-0048-IN,INV-0048,ORD-48,INPUT,2025-01,29AAACR2288E1ZK,12.0,0,1.08,1.08,0,2.16,TRUE,TRUE,RECONCILED
GST-0049-OUT,INV-0049,ORD-49,OUTPUT,2025-01,29ABCDE0049F1Z5,665.92,0,59.93,59.93,0,119.86,FALSE,,FILED
GST-0049-IN,INV-0049,ORD-49,INPUT,2025-01,29AAACR2288E1ZK,18.47,0,1.66,1.66,0,3.32,TRUE,TRUE,RECONCILED
GST-0050-OUT,INV-0050,ORD-50,OUTPUT,2025-01,29ABCDE0050F1Z5,704.87,126.88,0,0,0,126.88,FALSE,,FILED
GST-0050-IN,INV-0050,ORD-50,INPUT,2025-01,29AAACR2288E1ZK,3.33,0,0.3,0.3,0,0.6,TRUE,TRUE,RECONCILED
GST-0051-OUT,INV-0051,ORD-51,OUTPUT,2025-01,29ABCDE0051F1Z5,303.1,0,27.28,27.28,0,54.56,FALSE,,FILED
GST-0051-IN,INV-0051,ORD-51,INPUT,2025-01,29AAACR2288E1ZK,8.41,0,0.76,0.75,0,1.51,TRUE,TRUE,RECONCILED
GST-0052-OUT,INV-0052,ORD-52,OUTPUT,2025-01,29ABCDE0052F1Z5,679.43,0,61.15,61.15,0,122.3,FALSE,,FILED
