customer_id,name,email,phone,city,state,gstin,segment,signup_date,source,normalized
CUS-0040,Customer 0040,customer0040@example.com,+9198835205605,,,,,,,
CUS-0236,Customer 0236,customer0236@example.com,+9198696300619,,,,,,,
CUS-0069,Customer 0069,customer0069@example.com,+9198932803308,,,,,,,
CUS-0157,Customer 0157,customer0157@example.com,+9198501856265,,,,,,,
CUS-0125,Customer 0125,customer0125@example.com,+9198105309416,,,,,,,
CUS-0071,Customer 0071,customer0071@example.com,+9198612544312,,,,,,,
CUS-0105,Customer 0105,customer0105@example.com,+9198271079075,,,,,,,
CUS-0126,Customer 0126,customer0126@example.com,+9198470131551,,,,,,,
CUS-0079,Customer 0079,customer0079@example.com,+9198207281279,,,,,,,
CUS-0191,Customer 0191,customer0191@example.com,+9198605518396,,,,,,,
CUS-0060,Customer 0060,customer0060@example.com,+9198690374468,,,,,,,
CUS-0177,Customer 0177,customer0177@example.com,+9198837431324,,,,,,,
CUS-0195,Customer 0195,customer0195@example.com,+9198523105056,,,,,,,
CUS-0059,Customer 0059,customer0059@example.com,+9198850309046,,,,,,,
CUS-0223,Customer 0223,customer0223@example.com,+9198328161414,,,,,,,
CUS-0248,Customer 0248,customer0248@example.com,+9198607134650,,,,,,,
CUS-0039,Customer 0039,customer0039@example.com,+9198817728605,,,,,,,
CUS-0153,Customer 0153,customer0153@example.com,+9198504040007,,,,,,,
CUS-0114,Customer 0114,customer0114@example.com,+9198992652034,,,,,,,
CUS-0243,Customer 0243,customer0243@example.com,+9198597662137,,,,,,,
CUS-0062,Customer 0062,customer0062@example.com,+9198858302352,,,,,,,
CUS-0121,Customer 0121,customer0121@example.com,+9198360642244,,,,,,,
CUS-0019,Customer 0019,customer0019@example.com,+9198919325320,,,,,,,
CUS-0109,Customer 0109,customer0109@example.com,+9198202891162,,,,,,,
CUS-0113,Customer 0113,customer0113@example.com,+9198516154320,,,,,,,
CUS-0139,Customer 0139,customer0139@example.com,+9198237978393,,,,,,,
CUS-0024,Customer 0024,customer0024@example.com,+9198441832901,,,,,,,
CUS-0196,Customer 0196,customer0196@example.com,+9198919312568,,,,,,,
CUS-0235,Customer 0235,customer0235@example.com,+9198243372740,,,,,,,
CUS-0106,Customer 0106,customer0106@example.com,+9198529371703,,,,,,,
